FID,ogc_fid,state,hospname,establishment_id,parent_id,unit,medicare_prov_number,address_line_1,address_line_2,remoteness_area_code,remoteness_area,number_of_available_beds,_2012_13_peer_group_code,_2012_13_peer_group_name,admissions_reported,emergency_department,elective_surgery_reported,outpatient_clinics,_2011_12_peer_group_code,_2011_12_peer_group_name,longitude,latitude,geocode_quality,geocode_type,wkb_geometry
aihw_hospital_statistics_2012_2013.185,185,WA,Meekatharra Hospital,510600234,,Hospital,0070500Y,SAVAGE ST,MEEKATHARRA 6642,4,Very remote,9.83,S2,Other small public acute,Yes,No,No,No,E2,Multi-purpose services,118.4918,-26.5911,GEOMETRIC_CENTER,establishment,POINT (-26.5911432 118.4918057)
aihw_hospital_statistics_2012_2013.186,186,WA,Mullewa Hospital,510600419,,Hospital,0070570H,ELDER ST,MULLEWA 6630,3,Remote,2.25,VS,Very small public,Yes,No,No,No,E2,Multi-purpose services,115.5099,-28.5363,GEOMETRIC_CENTER,establishment,POINT (-28.5362743 115.50987790000002)
aihw_hospital_statistics_2012_2013.187,187,WA,North Midlands Hospital,510600426,,Hospital,0070730H,THOMAS ST,THREE SPRINGS 6519,3,Remote,4.92,VS,Very small public,Yes,No,No,No,E2,Multi-purpose services,115.7592,-29.5347,GEOMETRIC_CENTER,establishment,POINT (-29.5347152 115.75924039999998)
aihw_hospital_statistics_2012_2013.188,188,WA,Lake Grace Hospital,510700230,,Hospital,0070440W,STUBBS ST,LAKE GRACE 6353,3,Remote,6.16,VS,Very small public,Yes,No,No,No,E2,Multi-purpose services,118.4527,-33.1019,GEOMETRIC_CENTER,establishment,POINT (-33.1019421 118.45267989999999)
aihw_hospital_statistics_2012_2013.189,189,WA,Merredin Hospital,510700235,,Hospital,0070510X,KITCHENER RD,MERREDIN 6415,2,Outer Regional,24,S2,Other small public acute,Yes,No,Yes,No,E2,Multi-purpose services,118.2764,-31.4853,GEOMETRIC_CENTER,establishment,POINT (-31.485278999999995 118.276404)
aihw_hospital_statistics_2012_2013.190,190,WA,Narrogin Hospital,510700236,,Hospital,0070600W,WILLIAMS RD,NARROGIN 6312,2,Outer Regional,44,S1,Small public acute with surgery/obstetrics,Yes,No,Yes,No,D1,Small regional acute,117.1652,-32.9368,GEOMETRIC_CENTER,establishment,POINT (-32.9367881 117.165225)
aihw_hospital_statistics_2012_2013.191,191,WA,Northam Hospital,510700237,,Hospital,0071190K,ROBINSON ST,NORTHAM 6401,1,Inner Regional,43,S1,Small public acute with surgery/obstetrics,Yes,No,Yes,No,D1,Small regional acute,116.6579,-31.6496,GEOMETRIC_CENTER,establishment,POINT (-31.649550099999995 116.65789609999999)
aihw_hospital_statistics_2012_2013.192,192,WA,York Hospital,510700251,,Hospital,0070830B,TREWS RD,YORK 6302,1,Inner Regional,10.75,VS,Very small public,Yes,No,No,No,E2,Multi-purpose services,116.7547,-31.8936,GEOMETRIC_CENTER,establishment,POINT (-31.893620900000002 116.75467559999998)
aihw_hospital_statistics_2012_2013.193,193,WA,Beverley Hospital,510700401,,Hospital,0070060H,SEWELL ST,BEVERLEY 6304,2,Outer Regional,6.25,VS,Very small public,Yes,No,No,No,E2,Multi-purpose services,116.9229,-32.1035,GEOMETRIC_CENTER,establishment,POINT (-32.1034932 116.9229057)
aihw_hospital_statistics_2012_2013.194,194,WA,Boddington Hospital,510700402,,Hospital,0070070F,HOTHAM AV,BODDINGTON 6390,1,Inner Regional,8,VS,Very small public,Yes,No,No,No,G,Un-peered and other,116.4757,-32.803,GEOMETRIC_CENTER,establishment,POINT (-32.8029777 116.475726)
aihw_hospital_statistics_2012_2013.195,195,WA,Cunderdin Hospital,510700405,,Hospital,0070220H,CUBBINE RD,CUNDERDIN 6407,2,Outer Regional,2.67,VS,Very small public,Yes,No,No,No,E2,Multi-purpose services,117.245,-31.6542,GEOMETRIC_CENTER,establishment,POINT (-31.6542339 117.2449508)
aihw_hospital_statistics_2012_2013.196,196,WA,Dalwallinu Hospital,510700406,,Hospital,0070230F,MYERS ST,DALWALLINU 6609,3,Remote,6,S2,Other small public acute,Yes,No,No,No,E2,Multi-purpose services,116.6564,-30.277,GEOMETRIC_CENTER,establishment,POINT (-30.2770077 116.65636989999999)
aihw_hospital_statistics_2012_2013.197,197,WA,Kununoppin Hospital,510700414,,Hospital,0070430X,LEAKE ST,KUNUNOPPIN 6489,3,Remote,10.92,VS,Very small public,Yes,No,No,No,E2,Multi-purpose services,117.9229,-31.1096,GEOMETRIC_CENTER,establishment,POINT (-31.1096487 117.9228771)
aihw_hospital_statistics_2012_2013.198,198,WA,Moora Hospital,510700417,,Hospital,0070540L,DANDARAGAN ST,MOORA 6510,2,Outer Regional,15,S2,Other small public acute,Yes,No,Yes,No,E2,Multi-purpose services,116.0013,-30.6396,GEOMETRIC_CENTER,establishment,POINT (-30.6396066 116.00131299999998)
aihw_hospital_statistics_2012_2013.199,199,WA,Narembeen Memorial Hospital,510700423,,Hospital,0070590B,ADA ST,NAREMBEEN 6369,3,Remote,4,VS,Very small public,Yes,No,No,No,E2,Multi-purpose services,118.3922,-32.062,GEOMETRIC_CENTER,route,POINT (-32.0619594 118.3921577)
aihw_hospital_statistics_2012_2013.200,200,WA,Southern Cross Hospital,510700431,,Hospital,0070720J,COOLGARDIE RD,SOUTHERN CROSS 6426,3,Remote,5.75,VS,Very small public,Yes,No,No,No,E2,Multi-purpose services,119.337,-31.2296,GEOMETRIC_CENTER,establishment,POINT (-31.229580799999997 119.3370486)
aihw_hospital_statistics_2012_2013.201,201,WA,Wongan Hills Hospital,510700437,,Hospital,0070810H,ACKLAND ST,WONGAN HILLS 6603,2,Outer Regional,5.17,S2,Other small public acute,Yes,No,No,No,E2,Multi-purpose services,116.7237,-30.8948,GEOMETRIC_CENTER,establishment,POINT (-30.894767999999996 116.72368699999998)
aihw_hospital_statistics_2012_2013.202,202,WA,Wyalkatchem-Koorda and Districts Hospital,510700438,,Hospital,0070790W,HONOUR AV,WYALKATCHEM 6485,2,Outer Regional,4.67,VS,Very small public,Yes,No,No,No,E2,Multi-purpose services,117.3841,-31.1779,GEOMETRIC_CENTER,route,POINT (-31.1779149 117.38412269999999)
aihw_hospital_statistics_2012_2013.203,203,WA,Esperance Hospital,510800218,,Hospital,0070280W,HICKS ST,ESPERANCE 6450,3,Remote,30,S1,Small public acute with surgery/obstetrics,Yes,No,Yes,No,D3,Small remote acute,121.8925,-33.856,GEOMETRIC_CENTER,establishment,POINT (-33.8559681 121.8924605)
aihw_hospital_statistics_2012_2013.204,204,WA,Kalgoorlie Hospital,510800226,,Hospital,0070370T,PICCADILLY ST,KALGOORLIE 6430,2,Outer Regional,106,M,Medium public acute,Yes,Yes,Yes,Yes,C1,Medium (group 1),121.4702,-30.7406,GEOMETRIC_CENTER,establishment,POINT (-30.7406435 121.47024709999998)
aihw_hospital_statistics_2012_2013.205,205,WA,Leonora Hospital,510800273,,Hospital,0070460L,SADIE CANNING DR,LEONORA 6438,4,Very remote,4,VS,Very small public,Yes,No,No,No,E2,Multi-purpose services,121.3377,-28.8943,GEOMETRIC_CENTER,establishment,POINT (-28.8943303 121.3377213)
aihw_hospital_statistics_2012_2013.206,206,WA,Katanning Hospital,510900227,,Hospital,0070380L,CLIVE ST,KATANNING 6317,2,Outer Regional,17,S1,Small public acute with surgery/obstetrics,Yes,No,Yes,No,E2,Multi-purpose services,117.5633,-33.6834,GEOMETRIC_CENTER,establishment,POINT (-33.6834469 117.5633274)
aihw_hospital_statistics_2012_2013.207,207,WA,Gnowangerup Hospital,510900410,,Hospital,0070330A,YOUGENUP RD,GNOWANGERUP 6335,3,Remote,4,VS,Very small public,Yes,No,No,No,E2,Multi-purpose services,118.0024,-33.9308,GEOMETRIC_CENTER,establishment,POINT (-33.9307519 118.00244250000002)
aihw_hospital_statistics_2012_2013.208,208,WA,Plantagenet Hospital,510900429,,Hospital,0070550K,LANGTON RD,MOUNT BARKER 6324,2,Outer Regional,16,S2,Other small public acute,Yes,No,No,No,E2,Multi-purpose services,117.6544,-34.6261,GEOMETRIC_CENTER,establishment,POINT (-34.6260829 117.65437690000002)
aihw_hospital_statistics_2012_2013.209,209,WA,Kojonup Hospital,510900445,,Hospital,0070400B,SPRING ST,KOJONUP 6395,2,Outer Regional,6,VS,Very small public,Yes,No,No,No,E2,Multi-purpose services,117.1562,-33.8294,GEOMETRIC_CENTER,establishment,POINT (-33.829418 117.1561809)
aihw_hospital_statistics_2012_2013.210,210,WA,Augusta Hospital,511000204,,Hospital,0071110F,DONOVAN ST,AUGUSTA 6290,1,Inner Regional,7.17,S2,Other small public acute,Yes,No,No,No,E2,Multi-purpose services,115.1587,-34.306,GEOMETRIC_CENTER,establishment,POINT (-34.30603659999999 115.158685)
aihw_hospital_statistics_2012_2013.211,211,WA,Bunbury Hospital,511000208,,Hospital,0071120B,BUSSELL HWY,BUNBURY 6230,1,Inner Regional,141,M,Medium public acute,Yes,Yes,Yes,Yes,A1,Principal referral,115.648,-33.3667,GEOMETRIC_CENTER,establishment,POINT (-33.366700699999996 115.6479872)
aihw_hospital_statistics_2012_2013.212,212,WA,Busselton Hospital,511000209,,Hospital,0070150F,MILL RD,BUSSELTON 6280,1,Inner Regional,50,S1,Small public acute with surgery/obstetrics,Yes,No,Yes,No,C2,Medium (group 2),115.3204,-33.6546,GEOMETRIC_CENTER,establishment,POINT (-33.6545841 115.3204179)
aihw_hospital_statistics_2012_2013.213,213,WA,Collie Hospital,511000211,,Hospital,0070170A,DEAKIN ST,COLLIE 6225,1,Inner Regional,25,S1,Small public acute with surgery/obstetrics,Yes,No,Yes,No,D1,Small regional acute,116.1623,-33.3524,GEOMETRIC_CENTER,establishment,POINT (-33.3524333 116.16231719999999)
aihw_hospital_statistics_2012_2013.214,214,WA,Margaret River Hospital,511000233,,Hospital,0070490H,FARRELLY ST,MARGARET RIVER 6285,1,Inner Regional,18,S1,Small public acute with surgery/obstetrics,Yes,No,Yes,No,D1,Small regional acute,115.071,-33.952,GEOMETRIC_CENTER,establishment,POINT (-33.9519754 115.070964)
aihw_hospital_statistics_2012_2013.215,215,WA,Donnybrook Hospital,511000271,,Hospital,0070260Y,BENTLEY ST,DONNYBROOK 6239,1,Inner Regional,14,VS,Very small public,Yes,No,No,No,G,Un-peered and other,115.8181,-33.5757,GEOMETRIC_CENTER,establishment,POINT (-33.5757082 115.818077)
aihw_hospital_statistics_2012_2013.216,216,WA,Nannup Hospital,511000422,,Hospital,0070630K,CAREY ST,NANNUP 6275,2,Outer Regional,4.75,VS,Very small public,Yes,No,No,No,E2,Multi-purpose services,115.7668,-33.9831,GEOMETRIC_CENTER,doctor,POINT (-33.9830649 115.7668018)
aihw_hospital_statistics_2012_2013.217,217,WA,Pemberton Hospital,511000427,,Hospital,0070660F,RAILWAY CR,PEMBERTON 6260,2,Outer Regional,8.16,S2,Other small public acute,Yes,No,No,No,E2,Multi-purpose services,116.0329,-34.4434,GEOMETRIC_CENTER,establishment,POINT (-34.4434266 116.0329144)
aihw_hospital_statistics_2012_2013.218,218,WA,Bridgetown Hospital,511000444,,Hospital,0070090A,PENINSULA RD,BRIDGETOWN 6255,2,Outer Regional,24,S1,Small public acute with surgery/obstetrics,Yes,No,Yes,No,D2,Small non-acute,116.1324,-33.9522,GEOMETRIC_CENTER,establishment,POINT (-33.952153 116.132398)
aihw_hospital_statistics_2012_2013.219,219,WA,State Forensic Mental Health Service,540100135,,Hospital,,BROCKWAY RD,MOUNT CLAREMONT 6010,0,Major Cities,38,Ps,Psychiatric public,Yes,No,No,No,F,Psychiatric,115.7889,-31.9624,GEOMETRIC_CENTER,establishment,POINT (-31.962380899999996 115.78894210000001)
aihw_hospital_statistics_2012_2013.220,220,WA,Graylands Hospital,540100935,,Hospital,0071590W,BROCKWAY RD,MOUNT CLAREMONT 6010,0,Major Cities,172.2,Ps,Psychiatric public,Yes,No,No,No,F,Psychiatric,115.7889,-31.9624,GEOMETRIC_CENTER,establishment,POINT (-31.962380899999996 115.78894210000001)
aihw_hospital_statistics_2012_2013.221,221,NSW,Pambula,1183N2140,,Hospital,0011930Y,1 Merimbola ST,Pambula 2549,2,Outer Regional,29.8,S2,Other small public acute,Yes,No,Yes,No,D1,Small regional acute,149.8779,-36.926,GEOMETRIC_CENTER,establishment,POINT (-36.926022 149.877934)
aihw_hospital_statistics_2012_2013.222,222,QLD,HUGHENDEN HOSPITAL,310000244,,Hospital,,14 Richmond Hill Drive,Hughenden 4821,4,Very remote,15,S2,Other small public acute,Yes,No,No,No,D2,Small non-acute,144.1879,-20.8426,GEOMETRIC_CENTER,establishment,POINT (-20.8426302 144.187871)
aihw_hospital_statistics_2012_2013.223,223,SA,Peterborough Soldiers' Memorial Hospital,41MN00190,,Hospital,,23 Hurlstone ST,Peterborough 5422,2,Outer Regional,22,S2,Other small public acute,Yes,No,Yes,No,D2,Small non-acute,138.8306,-32.9806,GEOMETRIC_CENTER,establishment,POINT (-32.9806312 138.83062819999998)
aihw_hospital_statistics_2012_2013.224,224,NSW,Manilla (MPS),1180J2110,,Hospital,0011670B,143 Court ST,Manilla 2346,2,Outer Regional,12,S2,Other small public acute,Yes,Yes,No,No,D2,Small non-acute,150.7316,-30.7463,RANGE_INTERPOLATED,street_address,POINT (-30.746277099999997 150.7315892)
aihw_hospital_statistics_2012_2013.225,225,NSW,Narrabri,1180J2130,,Hospital,0011830B,11 Cameron ST,Narrabri 2390,2,Outer Regional,29.7,S1,Small public acute with surgery/obstetrics,Yes,Yes,Yes,No,D1,Small regional acute,149.7774,-30.3263,RANGE_INTERPOLATED,street_address,POINT (-30.326316899999995 149.77735659999996)
aihw_hospital_statistics_2012_2013.730,730,VIC,Mercy Public Hospital Inc.,NET003388,,Network,,,Various,,,,,,No,No,No,No,A1,Principal referral,145.0611,-37.7562,ROOFTOP,establishment,POINT (-37.7561681 145.0611484)
aihw_hospital_statistics_2012_2013.226,226,NSW,Wyalong,1184L2260,,Hospital,0012410T,70 Ungarie RD,West Wyalong 2671,2,Outer Regional,22,S2,Other small public acute,Yes,No,No,No,D1,Small regional acute,147.1961,-33.917,RANGE_INTERPOLATED,street_address,POINT (-33.9170126 147.1961169)
aihw_hospital_statistics_2012_2013.227,227,QLD,EIDSVOLD HOSPITAL,310000065,,Hospital,,Cracow Road,Eidsvold 4627,2,Outer Regional,6,S2,Other small public acute,Yes,No,No,No,G,Un-peered and other,150.335,-25.3005,RANGE_INTERPOLATED,street_address,POINT (-25.3004605 150.3350081)
aihw_hospital_statistics_2012_2013.228,228,NSW,Bega,1183N2020,,Hospital,0010670K,1 McKee DR,Bega 2550,2,Outer Regional,70.1,M,Medium public acute,Yes,Yes,Yes,No,C1,Medium (group 1),149.8375,-36.6812,RANGE_INTERPOLATED,street_address,POINT (-36.6812325 149.8374599)
aihw_hospital_statistics_2012_2013.229,229,NSW,Tottenham (MPS),1185L2230,,Hospital,0012150X,Lot 10 Moondana ST,Tottenham 2873,3,Remote,3.6,VS,Very small public,Yes,No,No,No,G,Un-peered and other,147.3498,-32.2421,RANGE_INTERPOLATED,street_address,POINT (-32.242059 147.3498163)
aihw_hospital_statistics_2012_2013.230,230,NSW,Concord,1170A2370,,Hospital,0012720A,1a Hospital RD,Concord West 2138,0,Major Cities,663.7,PR,Principal referral,Yes,Yes,Yes,Yes,A1,Principal referral,151.095,-33.8362,ROOFTOP,street_address,POINT (-33.8361691 151.0950059)
aihw_hospital_statistics_2012_2013.231,231,NSW,St George,1172C2130,,Hospital,0010410J,28 Gray ST,Kogarah 2017,0,Major Cities,605.7,PR,Principal referral,Yes,Yes,Yes,Yes,A1,Principal referral,151.1332,-33.9678,ROOFTOP,street_address,POINT (-33.9677996 151.13321739999998)
aihw_hospital_statistics_2012_2013.232,232,NSW,Cooma HS,1183N2060,,Hospital,0011010W,1 Bent ST,Cooma 2630,1,Inner Regional,39.5,S1,Small public acute with surgery/obstetrics,Yes,No,Yes,No,C2,Medium (group 2),149.1289,-36.2417,ROOFTOP,street_address,POINT (-36.2417326 149.12891429999996)
aihw_hospital_statistics_2012_2013.233,233,NSW,Murrumburrah - Harden,1184N2130,,Hospital,0011810H,54 Swift ST,Harden 2587,1,Inner Regional,13,S2,Other small public acute,Yes,No,No,No,D1,Small regional acute,148.3603,-34.5558,ROOFTOP,street_address,POINT (-34.5558047 148.360261)
aihw_hospital_statistics_2012_2013.234,234,QLD,CALOUNDRA HOSPITAL,310000043,,Hospital,,West Terrace,Caloundra 4551,0,Major Cities,88,M,Medium public acute,Yes,Yes,Yes,No,C1,Medium (group 1),153.1197,-26.8005,ROOFTOP,street_address,POINT (-26.8005391 153.11966759999999)
aihw_hospital_statistics_2012_2013.235,235,QLD,MALENY HOSPITAL,310000048,,Hospital,,Bean Street,Maleny 4552,1,Inner Regional,24,S2,Other small public acute,Yes,No,No,No,D2,Small non-acute,152.8442,-26.7548,ROOFTOP,street_address,POINT (-26.7547688 152.84416689999998)
aihw_hospital_statistics_2012_2013.236,236,SA,Central Eyre Peninsula Hospital (Wudinna),41EY00076,,Hospital,,16-24 Richards AV,Wudinna 5652,4,Very remote,13,VS,Very small public,Yes,No,No,No,G,Un-peered and other,135.4671,-33.0503,ROOFTOP,street_address,POINT (-33.0502609 135.4671387)
aihw_hospital_statistics_2012_2013.237,237,SA,Port Lincoln Health Service,41EY00202,,Hospital,,39 Oxford TCE,Port Lincoln 5606,3,Remote,50,S1,Small public acute with surgery/obstetrics,Yes,Yes,Yes,No,D3,Small remote acute,135.8528,-34.7266,ROOFTOP,establishment,POINT (-34.7266162 135.8528058)
aihw_hospital_statistics_2012_2013.238,238,SA,Tumby Bay Hospital and Health Services,41EY00241,,Hospital,,8-11 The ESP,Tumby Bay 5605,3,Remote,15,S2,Other small public acute,Yes,No,No,No,D3,Small remote acute,136.1046,-34.3721,ROOFTOP,establishment,POINT (-34.372133 136.10459499999996)
aihw_hospital_statistics_2012_2013.239,239,WA,Kaleeya Hospital,510300130,,Hospital,0075390T,15 WOLSELY RD,EAST FREMANTLE 6158,0,Major Cities,67,S1,Small public acute with surgery/obstetrics,Yes,No,Yes,Yes,C1,Medium (group 1),115.7663,-32.0365,ROOFTOP,street_address,POINT (-32.03651 115.76632)
aihw_hospital_statistics_2012_2013.240,240,WA,Morawa Hospital,510600418,,Hospital,0070560J,CAULFIELD RD,MORAWA 6623,3,Remote,3.16,VS,Very small public,Yes,No,No,No,E2,Multi-purpose services,116.0029,-29.2127,ROOFTOP,street_address,POINT (-29.2127 116.00290999999999)
aihw_hospital_statistics_2012_2013.241,241,WA,Northampton Hospital,510600425,,Hospital,0070640J,STEPHEN ST,NORTHAMPTON 6535,2,Outer Regional,4.42,VS,Very small public,Yes,No,No,No,E2,Multi-purpose services,114.6352,-28.351,ROOFTOP,street_address,POINT (-28.35102 114.63518999999998)
aihw_hospital_statistics_2012_2013.242,242,WA,Goomalling Hospital,510700411,,Hospital,0070320B,FORREST ST,GOOMALLING 6460,2,Outer Regional,6,VS,Very small public,Yes,No,No,No,E2,Multi-purpose services,116.8306,-31.3039,ROOFTOP,street_address,POINT (-31.303918199999995 116.8305582)
aihw_hospital_statistics_2012_2013.243,243,WA,Laverton Hospital,510800272,,Hospital,0070450T,BERIA RD,LAVERTON 6440,4,Very remote,6.92,VS,Very small public,Yes,No,No,No,E2,Multi-purpose services,122.4001,-28.6265,ROOFTOP,street_address,POINT (-28.626546 122.40005799999999)
aihw_hospital_statistics_2012_2013.244,244,WA,Denmark Hospital,510900214,,Hospital,0070240B,50 SCOTSDALE RD,DENMARK 6333,2,Outer Regional,6.49,S2,Other small public acute,Yes,No,No,No,E2,Multi-purpose services,117.3581,-34.9561,ROOFTOP,street_address,POINT (-34.9561459 117.3581152)
aihw_hospital_statistics_2012_2013.245,245,NSW,Lake Cargelligo (MPS),1184L2120,,Hospital,0011560J,1 Uabba ST,Lake Cargelligo 2672,3,Remote,22,S2,Other small public acute,Yes,No,No,No,E2,Multi-purpose services,146.3751,-33.2942,ROOFTOP,establishment,POINT (-33.294181 146.375051)
aihw_hospital_statistics_2012_2013.246,246,SA,Andamooka Outpost Hospital,41NF00046,,Hospital,,,Andamooka 5722,4,Very remote,2,OT,Outpatient hospital,No,No,No,No,G,Un-peered and other,137.1648,-30.4536,APPROXIMATE,locality,POINT (-30.453603599999997 137.1648204)
aihw_hospital_statistics_2012_2013.247,247,SA,Orroroo & District Health Service,41MN00184,,Hospital,,Pekina RD,Orroroo 5431,2,Outer Regional,8,VS,Very small public,Yes,No,No,No,G,Un-peered and other,138.5655,-32.8121,GEOMETRIC_CENTER,route,POINT (-32.8120545 138.5654838)
aihw_hospital_statistics_2012_2013.248,248,SA,McLaren Vale & Districts War Memorial Hospital Inc,41MO00036,,Hospital,,Aldersley ST,McLaren Vale 5171,0,Major Cities,0,S2,Other small public acute,Yes,No,No,No,G,Un-peered and other,138.5441,-35.2243,GEOMETRIC_CENTER,route,POINT (-35.2242829 138.54412620000002)
aihw_hospital_statistics_2012_2013.249,249,SA,Millicent & District Hospital & Health Services,41SE00154,,Hospital,,Mount Gambier RD,Millicent 5280,2,Outer Regional,30,S1,Small public acute with surgery/obstetrics,Yes,No,Yes,No,D1,Small regional acute,140.3747,-37.6157,GEOMETRIC_CENTER,route,POINT (-37.6156581 140.37470080000003)
aihw_hospital_statistics_2012_2013.250,250,VIC,Beaufort & Skipton Health Service [Skipton],210102230,NET003609,Campus,,Blake Street,Skipton 3361,1,Inner Regional,6,VS,Very small public,Yes,No,No,No,G,Un-peered and other,143.3652,-37.6846,GEOMETRIC_CENTER,route,POINT (-37.68464749999999 143.3652368)
aihw_hospital_statistics_2012_2013.251,251,VIC,Kilmore & District Hospital The,210403460,,Hospital,,Rutledge Street,Kilmore 3764,1,Inner Regional,28.42,S1,Small public acute with surgery/obstetrics,Yes,No,No,No,D1,Small regional acute,144.9524,-37.3004,GEOMETRIC_CENTER,route,POINT (-37.300429 144.9523747)
aihw_hospital_statistics_2012_2013.252,252,SA,Karoonda & District Soldiers' Memorial Hospital,41HM00118,,Hospital,,13 Stokes RD,Karoonda 5307,2,Outer Regional,4,VS,Very small public,Yes,No,No,No,G,Un-peered and other,139.8897,-35.0943,RANGE_INTERPOLATED,street_address,POINT (-35.0943029 139.88972440000003)
aihw_hospital_statistics_2012_2013.253,253,SA,Meningie & Districts Memorial Hospital & Health Services,41HM00151,,Hospital,,2 South TCE,Meningie 5264,2,Outer Regional,14,S2,Other small public acute,Yes,No,No,No,D1,Small regional acute,139.3331,-35.6928,RANGE_INTERPOLATED,street_address,POINT (-35.6928395 139.3330592)
aihw_hospital_statistics_2012_2013.254,254,VIC,Timboon & District Healthcare Service,210102360,,Hospital,,21 Hospital Road,Timboon 3268,2,Outer Regional,13.08,S2,Other small public acute,Yes,No,No,No,E2,Multi-purpose services,142.977,-38.4862,RANGE_INTERPOLATED,street_address,POINT (-38.4862363 142.9769538)
aihw_hospital_statistics_2012_2013.255,255,VIC,Terang & Mortlake Health Service [Terang],210103350,,Hospital,,13 Austin Avenue,Terang 3264,1,Inner Regional,26,S2,Other small public acute,Yes,No,No,No,D1,Small regional acute,142.9024,-38.2394,RANGE_INTERPOLATED,street_address,POINT (-38.2393678 142.9024268)
aihw_hospital_statistics_2012_2013.256,256,VIC,Inglewood & District Health Service,210303370,,Hospital,,3 Hospital Street,Inglewood 3517,1,Inner Regional,8,S2,Other small public acute,Yes,No,No,No,G,Un-peered and other,143.8734,-36.5726,RANGE_INTERPOLATED,street_address,POINT (-36.5725852 143.873394)
aihw_hospital_statistics_2012_2013.257,257,SA,Laura & Districts Hospital,41MN00130,,Hospital,,33 Mill ST,Laura 5480,2,Outer Regional,4,VS,Very small public,Yes,No,No,No,D2,Small non-acute,138.299,-33.1772,ROOFTOP,street_address,POINT (-33.1771545 138.2989508)
aihw_hospital_statistics_2012_2013.258,258,VIC,Beaufort & Skipton Health Service [Beaufort],210203120,NET003609,Campus,,28 Havelock Street,Beaufort 3373,1,Inner Regional,10,VS,Very small public,Yes,No,No,No,G,Un-peered and other,143.3825,-37.4309,ROOFTOP,street_address,POINT (-37.4308576 143.3824534)
aihw_hospital_statistics_2012_2013.259,259,VIC,Edenhope & District Hospital,210203240,,Hospital,,128-134 Elizabeth Street,Edenhope 3318,2,Outer Regional,18.33,S2,Other small public acute,Yes,No,No,No,D1,Small regional acute,141.2889,-37.0356,ROOFTOP,street_address,POINT (-37.0356235 141.288851)
aihw_hospital_statistics_2012_2013.260,260,VIC,Kyabram & District Health Service,210301260,,Hospital,,88 Fenaughty Street,Kyabram 3620,1,Inner Regional,45.67,S1,Small public acute with surgery/obstetrics,Yes,No,No,No,C2,Medium (group 2),145.0424,-36.3148,ROOFTOP,street_address,POINT (-36.3147857 145.04238149999998)
aihw_hospital_statistics_2012_2013.261,261,VIC,Manangatang & District Hospital,210302660,210303130,Campus,,37 Pioneer Street,Manangatang 3546,2,Outer Regional,6,VS,Very small public,Yes,No,No,No,G,Un-peered and other,142.8811,-35.0511,ROOFTOP,street_address,POINT (-35.0510631 142.8810883)
aihw_hospital_statistics_2012_2013.262,262,VIC,Rochester & Elmore District Health Service,210303140,,Hospital,,1 Pascoe Street,Rochester 3561,1,Inner Regional,12,S2,Other small public acute,Yes,No,No,No,D1,Small regional acute,144.6979,-36.3658,ROOFTOP,street_address,POINT (-36.365813499999994 144.6979363)
aihw_hospital_statistics_2012_2013.263,263,VIC,Sea Lake & District,210307270,210302390,Campus,,33-43 McClelland Avenue,Sea Lake 3533,2,Outer Regional,4,O5,Unpeered,No,No,No,No,G,Un-peered and other,142.8577,-35.5009,ROOFTOP,street_address,POINT (-35.5008826 142.8577157)
aihw_hospital_statistics_2012_2013.264,264,VIC,Numurkah & District Health Service,210403030,,Hospital,,2 Katamatite Road,Numurkah 3636,1,Inner Regional,3.33,S2,Other small public acute,Yes,No,No,No,G,Un-peered and other,145.4436,-36.0993,ROOFTOP,street_address,POINT (-36.0993453 145.4435593)
aihw_hospital_statistics_2012_2013.265,265,VIC,Yea & District Memorial Hospital,210403590,,Hospital,,45 Station Street,Yea 3717,1,Inner Regional,10,S2,Other small public acute,Yes,No,No,No,D2,Small non-acute,145.431,-37.214,ROOFTOP,street_address,POINT (-37.2139576 145.4309531)
aihw_hospital_statistics_2012_2013.266,266,VIC,Benalla & District Memorial Hospital,210404050,,Hospital,,45-53 Coster Street,Benalla 3672,1,Inner Regional,56.84,S1,Small public acute with surgery/obstetrics,Yes,No,No,No,C2,Medium (group 2),145.9935,-36.5553,ROOFTOP,subpremise,POINT (-36.5553172 145.9934991)
aihw_hospital_statistics_2012_2013.267,267,VIC,Yarram & District Health Service,210501770,,Hospital,,85-91 Commercial Road,Yarram 3971,1,Inner Regional,22,S2,Other small public acute,Yes,No,No,No,D1,Small regional acute,146.6777,-38.557,ROOFTOP,subpremise,POINT (-38.5569618 146.6777133)
aihw_hospital_statistics_2012_2013.268,268,VIC,Sandringham & District Memorial Hospital,210901360,NET011519,Campus,,193 Bluff Road,Sandringham 3191,0,Major Cities,89.09,M,Medium public acute,Yes,Yes,Yes,Yes,B1,Large Major cities,145.0191,-37.9605,ROOFTOP,street_address,POINT (-37.960472 145.019078)
aihw_hospital_statistics_2012_2013.269,269,VIC,Beaufort & Skipton Health Service,NET003609,,Network,,28 Havelock Street,Beaufort Victoria 3373,,,,,,No,No,No,No,D2,Small non-acute,143.3825,-37.4309,ROOFTOP,street_address,POINT (-37.4308576 143.3824534)
aihw_hospital_statistics_2012_2013.270,270,VIC,Beaufort & Skipton Health Service,NET003609,,Network,,"2 Blake Street,",Skipton Victoria 3361,,,,,,No,No,No,No,D2,Small non-acute,143.3674,-37.6846,RANGE_INTERPOLATED,street_address,POINT (-37.6845724 143.3673993)
